post_id,date,month,platform,campaign,format,theme,paid,impressions,reach,engagements,clicks,conversions,spend,revenue,follower_start,followers_gained,followers_lost,follower_end,response_hours
SM0188,2026-07-04,2026-07,Facebook,Summer Launch,Live Clip,Product,0,10304,8003,286,146,15,0,2184.22,20149,11,2,20158,35
SM0189,2026-07-05,2026-07,Facebook,Lead Gen,Short Video,Behind the Scenes,1,3945,2674,82,47,5,365.74,867.15,20158,5,2,20161,31.6
SM0190,2026-07-06,2026-07,Facebook,Brand Trust,Carousel,Promotion,1,10569,7316,427,124,11,583.36,1190.32,20161,9,1,20169,43.3
SM0191,2026-07-07,2026-07,Facebook,Always On,Static Image,Product,0,5898,3764,225,108,6,0,975.06,20169,5,2,20172,48.8
SM0192,2026-07-08,2026-07,Facebook,Summer Launch,Article,Behind the Scenes,0,4312,2948,126,68,5,0,519.06,20172,5,1,20176,32.8
SM0193,2026-07-09,2026-07,Facebook,Lead Gen,Live Clip,Promotion,1,8054,5423,257,56,3,936.72,429.92,20176,5,2,20179,26.6
SM0194,2026-07-10,2026-07,Facebook,Brand Trust,Short Video,Product,0,12103,8859,282,155,9,0,978.01,20179,17,4,20192,37
SM0195,2026-07-11,2026-07,Facebook,Always On,Carousel,Behind the Scenes,0,3629,2908,71,34,3,0,410.53,20192,2,1,20193,10.7
SM0196,2026-07-12,2026-07,Facebook,Summer Launch,Static Image,Promotion,1,6006,3886,100,104,4,566.14,661.85,20193,8,1,20200,16.6
SM0197,2026-07-13,2026-07,Facebook,Lead Gen,Article,Product,1,5547,3795,105,110,8,659.83,1437.47,20200,8,3,20205,12.6
SM0198,2026-07-14,2026-07,Facebook,Brand Trust,Live Clip,Behind the Scenes,0,7280,5101,211,117,7,0,566.57,20205,10,3,20212,44.9
SM0199,2026-07-15,2026-07,Facebook,Always On,Short Video,Promotion,1,13063,8443,530,73,5,410.07,375.59,20212,21,5,20228,43.3
SM0200,2026-07-16,2026-07,Facebook,Summer Launch,Carousel,Product,0,4700,3773,108,90,4,0,425.38,20228,4,1,20231,31.7
SM0201,2026-07-17,2026-07,Facebook,Lead Gen,Static Image,Behind the Scenes,1,10032,7839,228,229,16,857.16,2293.13,20231,6,1,20236,24.5
SM0202,2026-07-18,2026-07,Facebook,Brand Trust,Article,Promotion,1,7098,5649,302,164,6,1141.5,522.09,20236,4,1,20239,10.6
SM0203,2026-07-19,2026-07,Facebook,Always On,Live Clip,Product,0,6814,5488,353,95,8,0,601.2,20239,6,1,20244,9.6
SM0204,2026-07-20,2026-07,Facebook,Summer Launch,Short Video,Behind the Scenes,0,4803,3820,246,30,3,0,344.17,20244,8,1,20251,13.1
SM0205,2026-07-21,2026-07,Facebook,Lead Gen,Carousel,Promotion,1,10166,7262,398,225,12,280.84,1066.13,20251,9,1,20259,35.9
SM0206,2026-07-22,2026-07,Facebook,Brand Trust,Static Image,Product,0,8350,5929,309,60,2,0,333.5,20259,5,2,20262,28.2
SM0207,2026-07-23,2026-07,Facebook,Always On,Article,Behind the Scenes,0,4063,2892,182,36,2,0,350.72,20262,3,0,20265,13.2
SM0208,2026-07-24,2026-07,Facebook,Summer Launch,Live Clip,Promotion,1,5133,3463,73,87,3,978.46,523.31,20265,4,1,20268,26.3
SM0209,2026-07-25,2026-07,Facebook,Lead Gen,Short Video,Product,1,10631,7549,460,67,6,406.75,725.31,20268,17,6,20279,45.5
SM0210,2026-07-26,2026-07,Facebook,Brand Trust,Carousel,Behind the Scenes,0,2473,1746,54,31,3,0,313.96,20279,4,1,20282,15.2
SM0211,2026-07-27,2026-07,Facebook,Always On,Static Image,Promotion,1,10121,7331,399,159,17,1142.73,2527.05,20282,9,3,20288,47.4
SM0212,2026-07-28,2026-07,Facebook,Summer Launch,Article,Product,0,6961,4863,274,150,8,0,873.28,20288,8,3,20293,15.3
SM0213,2026-07-29,2026-07,Facebook,Lead Gen,Live Clip,Behind the Scenes,1,3185,2491,105,17,1,615.39,176.59,20293,3,1,20295,13.9
SM0214,2026-07-30,2026-07,Facebook,Brand Trust,Short Video,Promotion,1,12939,8584,243,259,27,630.72,4992.18,20295,20,5,20310,32
SM0215,2026-07-31,2026-07,Facebook,Always On,Carousel,Product,0,9732,7003,148,146,11,0,2036.56,20310,12,4,20318,24.6
SM0216,2026-07-01,2026-07,Facebook,Summer Launch,Static Image,Behind the Scenes,0,9710,6277,139,187,12,0,1840.29,20318,12,4,20326,27.1
SM0217,2026-07-02,2026-07,Facebook,Lead Gen,Article,Promotion,1,10323,7346,236,235,8,331.12,853.25,20326,13,4,20335,39.9
SM0218,2026-07-03,2026-07,Facebook,Brand Trust,Live Clip,Product,0,10315,6683,150,189,15,0,1927.78,20335,11,2,20344,42.5
SM0219,2026-07-01,2026-07,LinkedIn,Always On,Static Image,Customer Story,1,2165,1470,80,53,5,867.38,823.25,12880,3,1,12882,17
SM0220,2026-07-02,2026-07,LinkedIn,Summer Launch,Article,Industry Insight,0,4512,3652,81,63,8,0,892.87,12882,9,2,12889,39.2
SM0221,2026-07-03,2026-07,LinkedIn,Lead Gen,Live Clip,Education,0,4086,3004,159,128,12,0,2270.46,12889,4,1,12892,12.1
SM0222,2026-07-04,2026-07,LinkedIn,Brand Trust,Short Video,Customer Story,0,6838,4525,247,183,14,0,1633.75,12892,4,1,12895,12.2
SM0223,2026-07-05,2026-07,LinkedIn,Always On,Carousel,Industry Insight,1,3239,2122,50,72,4,406.36,524.1,12895,4,1,12898,25.2
SM0224,2026-07-06,2026-07,LinkedIn,Summer Launch,Static Image,Education,0,3253,2622,84,52,4,0,544.73,12898,6,2,12902,6.8
SM0225,2026-07-07,2026-07,LinkedIn,Lead Gen,Article,Customer Story,0,8278,5346,195,258,18,0,1892.85,12902,11,3,12910,19.2
SM0226,2026-07-08,2026-07,LinkedIn,Brand Trust,Live Clip,Industry Insight,0,6864,5087,172,56,8,0,954.87,12910,7,1,12916,27.3
SM0227,2026-07-09,2026-07,LinkedIn,Always On,Short Video,Education,1,4858,3801,192,41,2,711.94,318.93,12916,9,2,12923,29.1
SM0228,2026-07-10,2026-07,LinkedIn,Summer Launch,Carousel,Customer Story,0,6546,5020,133,142,16,0,1695.42,12923,10,2,12931,20.3
SM0229,2026-07-11,2026-07,LinkedIn,Lead Gen,Static Image,Industry Insight,0,4351,3408,67,108,13,0,2324.59,12931,3,1,12933,17.4
SM0230,2026-07-12,2026-07,LinkedIn,Brand Trust,Article,Education,0,4631,3192,115,93,8,0,966.01,12933,6,1,12938,44.1
SM0231,2026-07-13,2026-07,LinkedIn,Always On,Live Clip,Customer Story,1,9187,6315,112,293,31,736.48,3384.72,12938,11,3,12946,10.8
SM0232,2026-07-14,2026-07,LinkedIn,Summer Launch,Short Video,Industry Insight,0,10920,7627,360,179,14,0,2152.39,12946,9,2,12953,36.9
SM0233,2026-07-15,2026-07,LinkedIn,Lead Gen,Carousel,Education,0,7733,4923,222,98,9,0,1329.12,12953,4,1,12956,25.7
SM0234,2026-07-16,2026-07,LinkedIn,Brand Trust,Static Image,Customer Story,0,3569,2661,140,112,9,0,1693.03,12956,3,0,12959,23.3
SM0235,2026-07-17,2026-07,LinkedIn,Always On,Article,Industry Insight,1,4544,3180,71,49,5,488.23,793.06,12959,5,2,12962,37.1
SM0236,2026-07-18,2026-07,LinkedIn,Summer Launch,Live Clip,Education,0,6676,5238,187,114,10,0,863.18,12962,6,2,12966,43.1
SM0237,2026-07-19,2026-07,LinkedIn,Lead Gen,Short Video,Customer Story,0,4851,3390,92,133,8,0,1438.91,12966,3,1,12968,15.1
SM0238,2026-07-20,2026-07,LinkedIn,Brand Trust,Carousel,Industry Insight,0,3284,2186,75,105,11,0,1775.09,12968,5,1,12972,47.5
SM0239,2026-07-21,2026-07,LinkedIn,Always On,Static Image,Education,1,6759,5469,265,99,6,459.09,602.02,12972,7,1,12978,18
SM0240,2026-07-22,2026-07,LinkedIn,Summer Launch,Article,Customer Story,0,3582,2515,50,111,13,0,2017.9,12978,3,1,12980,44.7
SM0241,2026-07-23,2026-07,LinkedIn,Lead Gen,Live Clip,Industry Insight,0,7277,5583,287,125,13,0,2045.97,12980,12,3,12989,25
SM0242,2026-07-24,2026-07,LinkedIn,Brand Trust,Short Video,Education,0,11534,8661,278,143,14,0,1384.56,12989,21,3,13007,40.3
SM0243,2026-07-25,2026-07,LinkedIn,Always On,Carousel,Customer Story,1,2393,1880,57,36,2,867.79,321.03,13007,4,1,13010,14.9
SM0244,2026-07-26,2026-07,LinkedIn,Summer Launch,Static Image,Industry Insight,0,8168,5412,255,208,15,0,2301.4,13010,8,2,13016,7.9
SM0245,2026-07-27,2026-07,LinkedIn,Lead Gen,Article,Education,0,5656,4077,103,66,7,0,912.63,13016,8,2,13022,33
SM0246,2026-07-28,2026-07,LinkedIn,Brand Trust,Live Clip,Customer Story,0,3520,2831,130,42,5,0,544.93,13022,4,1,13025,9.9
SM0247,2026-07-29,2026-07,LinkedIn,Always On,Short Video,Industry Insight,1,11210,7453,242,249,14,630.84,1364.08,13025,13,4,13034,34.1
SM0248,2026-07-30,2026-07,LinkedIn,Summer Launch,Carousel,Education,0,7591,5514,222,178,23,0,4321.99,13034,8,3,13039,7.7
SM0249,2026-07-31,2026-07,LinkedIn,Lead Gen,Static Image,Customer Story,0,3124,2369,111,69,8,0,1167.7,13039,4,1,13042,8.3
SM0250,2026-07-01,2026-07,LinkedIn,Brand Trust,Article,Industry Insight,0,2140,1411,65,50,7,0,642.68,13042,3,1,13044,33.3
SM0251,2026-07-02,2026-07,LinkedIn,Always On,Live Clip,Education,1,7059,4845,125,72,10,616.04,1671.46,13044,5,1,13048,38.9
SM0252,2026-07-03,2026-07,LinkedIn,Summer Launch,Short Video,Customer Story,0,3604,2601,109,73,4,0,322.64,13048,2,0,13050,13.9
SM0253,2026-07-01,2026-07,TikTok,Lead Gen,Article,Behind the Scenes,1,11561,8617,606,186,15,1169.71,1918.76,22720,14,3,22731,25.8
SM0254,2026-07-02,2026-07,TikTok,Brand Trust,Live Clip,Promotion,1,9688,7383,471,138,13,452.55,1390.71,22731,7,1,22737,41.4
SM0255,2026-07-03,2026-07,TikTok,Always On,Short Video,Product,0,7129,5078,503,46,5,0,693.81,22737,5,1,22741,41.4
SM0256,2026-07-04,2026-07,TikTok,Summer Launch,Carousel,Behind the Scenes,0,11406,7284,889,184,13,0,1237.04,22741,16,4,22753,11.3
SM0257,2026-07-05,2026-07,TikTok,Lead Gen,Static Image,Promotion,1,7091,5593,239,75,5,796.96,522.72,22753,14,5,22762,14.6
SM0258,2026-07-06,2026-07,TikTok,Brand Trust,Article,Product,0,16602,11203,1166,129,6,0,1035.31,22762,27,7,22782,18.7
SM0259,2026-07-07,2026-07,TikTok,Always On,Live Clip,Behind the Scenes,0,17713,11792,1380,238,26,0,4300.17,22782,14,4,22792,15.2
SM0260,2026-07-08,2026-07,TikTok,Summer Launch,Short Video,Promotion,1,21329,14058,1100,119,6,343.08,590.43,22792,30,6,22816,44.4
SM0261,2026-07-09,2026-07,TikTok,Lead Gen,Carousel,Product,1,6572,4231,270,68,6,422.55,574.04,22816,9,2,22823,35.1
SM0262,2026-07-10,2026-07,TikTok,Brand Trust,Static Image,Behind the Scenes,0,10596,7001,655,76,5,0,635.53,22823,12,4,22831,46.6
SM0263,2026-07-11,2026-07,TikTok,Always On,Article,Promotion,1,4652,2945,359,70,7,1084.34,1015.53,22831,4,1,22834,40.4
SM0264,2026-07-12,2026-07,TikTok,Summer Launch,Live Clip,Product,0,16694,10765,584,97,4,0,544.87,22834,8,2,22840,45.6
SM0265,2026-07-13,2026-07,TikTok,Lead Gen,Short Video,Behind the Scenes,1,16130,11492,617,308,22,420.52,2138.04,22840,25,8,22857,25
SM0266,2026-07-14,2026-07,TikTok,Brand Trust,Carousel,Promotion,1,10675,7509,886,60,4,1072.87,667.02,22857,19,4,22872,33.7
SM0267,2026-07-15,2026-07,TikTok,Always On,Static Image,Product,0,9740,7319,843,47,5,0,798.64,22872,15,4,22883,24.9
SM0268,2026-07-16,2026-07,TikTok,Summer Launch,Article,Behind the Scenes,0,4869,3111,161,32,1,0,162.94,22883,3,1,22885,13.1
SM0269,2026-07-17,2026-07,TikTok,Lead Gen,Live Clip,Promotion,1,11317,7838,938,67,3,596.85,369.46,22885,7,1,22891,6.8
SM0270,2026-07-18,2026-07,TikTok,Brand Trust,Short Video,Product,0,12234,9469,985,105,6,0,783.8,22891,22,6,22907,29.9
SM0271,2026-07-19,2026-07,TikTok,Always On,Carousel,Behind the Scenes,0,9535,6652,461,174,10,0,1400.04,22907,14,4,22917,28.3
SM0272,2026-07-20,2026-07,TikTok,Summer Launch,Static Image,Promotion,1,18894,13460,1468,327,15,1062.75,2113.44,22917,17,5,22929,40.8
SM0273,2026-07-21,2026-07,TikTok,Lead Gen,Article,Product,1,6588,4798,367,66,7,771.84,872.08,22929,11,2,22938,14.9
SM0274,2026-07-22,2026-07,TikTok,Brand Trust,Live Clip,Behind the Scenes,0,12624,8693,1046,114,9,0,1146.31,22938,7,1,22944,10.8
SM0275,2026-07-23,2026-07,TikTok,Always On,Short Video,Promotion,1,14644,10394,404,169,16,501.13,2049.72,22944,13,5,22952,13.5
SM0276,2026-07-24,2026-07,TikTok,Summer Launch,Carousel,Product,0,10908,7124,524,212,19,0,1865.46,22952,17,5,22964,35.4
SM0277,2026-07-25,2026-07,TikTok,Lead Gen,Static Image,Behind the Scenes,1,5960,3798,217,108,8,1119.14,1343.86,22964,7,2,22969,41.7
SM0278,2026-07-26,2026-07,TikTok,Brand Trust,Article,Promotion,1,5938,4532,454,112,10,843.56,1191.49,22969,3,1,22971,26.3
SM0279,2026-07-27,2026-07,TikTok,Always On,Live Clip,Product,0,8524,6232,320,93,4,0,645.1,22971,5,2,22974,9.7
SM0280,2026-07-28,2026-07,TikTok,Summer Launch,Short Video,Behind the Scenes,0,18134,12192,1015,200,14,0,2338.46,22974,9,2,22981,6.3
SM0281,2026-07-29,2026-07,TikTok,Lead Gen,Carousel,Promotion,1,15659,12245,602,76,5,946.48,491.16,22981,28,7,23002,36
SM0282,2026-07-30,2026-07,TikTok,Brand Trust,Static Image,Product,0,13049,8633,424,189,14,0,1314.93,23002,19,7,23014,49.7
SM0283,2026-07-31,2026-07,TikTok,Always On,Article,Behind the Scenes,0,4730,3296,304,58,3,0,258.33,23014,6,1,23019,7.7
SM0284,2026-07-01,2026-07,TikTok,Summer Launch,Live Clip,Promotion,1,14239,9515,427,161,7,227.82,880.68,23019,14,3,23030,28.8
SM0285,2026-07-02,2026-07,TikTok,Lead Gen,Short Video,Product,1,7895,6242,755,82,8,795.35,1085.25,23030,7,3,23034,35.1
SM0286,2026-07-03,2026-07,TikTok,Brand Trust,Carousel,Behind the Scenes,0,9509,6033,459,64,4,0,352.4,23034,12,4,23042,33.3
SM0287,2026-07-01,2026-07,YouTube,Always On,Live Clip,Industry Insight,1,10572,8244,228,87,7,852.38,1075.02,10140,13,4,10149,18.9
SM0288,2026-07-02,2026-07,YouTube,Summer Launch,Short Video,Education,0,4380,3329,288,111,8,0,1414.48,10149,4,1,10152,40.6
SM0289,2026-07-03,2026-07,YouTube,Lead Gen,Carousel,Customer Story,0,3322,2478,171,52,5,0,633.48,10152,5,2,10155,28.1
SM0290,2026-07-04,2026-07,YouTube,Brand Trust,Static Image,Industry Insight,0,12612,9485,826,202,10,0,1066.84,10155,18,3,10170,30.6
SM0291,2026-07-05,2026-07,YouTube,Always On,Article,Education,1,3168,2284,67,58,6,753.51,603.23,10170,5,1,10174,14.7
SM0292,2026-07-06,2026-07,YouTube,Summer Launch,Live Clip,Customer Story,0,6311,4589,381,104,6,0,917.59,10174,11,2,10183,13.7
SM0293,2026-07-07,2026-07,YouTube,Lead Gen,Short Video,Industry Insight,0,10898,8169,291,152,8,0,681.16,10183,13,3,10193,8.7
SM0294,2026-07-08,2026-07,YouTube,Brand Trust,Carousel,Education,0,5027,3741,282,123,8,0,796.61,10193,9,3,10199,14.7
SM0295,2026-07-09,2026-07,YouTube,Always On,Static Image,Customer Story,1,7682,5918,499,179,13,812.48,2409.01,10199,10,2,10207,25.2
SM0296,2026-07-10,2026-07,YouTube,Summer Launch,Article,Industry Insight,0,8460,6087,299,119,4,0,540.52,10207,8,2,10213,32
SM0297,2026-07-11,2026-07,YouTube,Lead Gen,Live Clip,Education,0,8384,5287,229,63,3,0,439.3,10213,4,1,10216,16.6
SM0298,2026-07-12,2026-07,YouTube,Brand Trust,Short Video,Customer Story,0,11669,7891,486,165,15,0,1908.12,10216,13,3,10226,39.4
SM0299,2026-07-13,2026-07,YouTube,Always On,Carousel,Industry Insight,1,11303,7283,314,329,24,688.01,2152.37,10226,12,2,10236,29
SM0300,2026-07-14,2026-07,YouTube,Summer Launch,Static Image,Education,0,4406,2819,111,29,1,0,99.64,10236,4,1,10239,19.2
SM0301,2026-07-15,2026-07,YouTube,Lead Gen,Article,Customer Story,0,10008,6418,415,153,13,0,2379.3,10239,8,1,10246,19.7
SM0302,2026-07-16,2026-07,YouTube,Brand Trust,Live Clip,Industry Insight,0,8107,6335,536,125,12,0,1726.43,10246,5,1,10250,7.6
SM0303,2026-07-17,2026-07,YouTube,Always On,Short Video,Education,1,11074,7020,584,292,32,971.23,5149.84,10250,7,2,10255,48
SM0304,2026-07-18,2026-07,YouTube,Summer Launch,Carousel,Customer Story,0,11100,7690,268,83,8,0,941.82,10255,9,3,10261,20.3
SM0305,2026-07-19,2026-07,YouTube,Lead Gen,Static Image,Industry Insight,0,12458,9495,314,286,12,0,1006.96,10261,13,4,10270,30.5
SM0306,2026-07-20,2026-07,YouTube,Brand Trust,Article,Education,0,6393,5079,445,66,6,0,862.08,10270,5,1,10274,7.4
SM0307,2026-07-21,2026-07,YouTube,Always On,Live Clip,Customer Story,1,7071,5139,318,134,14,235.82,1726.85,10274,6,1,10279,25.9
SM0308,2026-07-22,2026-07,YouTube,Summer Launch,Short Video,Industry Insight,0,7491,5188,435,135,11,0,861.59,10279,12,2,10289,43.7
SM0309,2026-07-23,2026-07,YouTube,Lead Gen,Carousel,Education,0,4452,3351,294,123,4,0,730.32,10289,7,2,10294,21.3
SM0310,2026-07-24,2026-07,YouTube,Brand Trust,Static Image,Customer Story,0,9214,6260,216,237,12,0,1261.6,10294,13,2,10305,26.2
SM0311,2026-07-25,2026-07,YouTube,Always On,Article,Industry Insight,1,10588,7925,528,266,14,815.43,1381.46,10305,8,3,10310,49.2
SM0312,2026-07-26,2026-07,YouTube,Summer Launch,Live Clip,Education,0,13415,10738,720,204,18,0,2499.49,10310,16,3,10323,36.8
SM0313,2026-07-27,2026-07,YouTube,Lead Gen,Short Video,Customer Story,0,6028,4215,179,91,9,0,1548.82,10323,5,1,10327,12.9
SM0314,2026-07-28,2026-07,YouTube,Brand Trust,Carousel,Industry Insight,0,8291,5642,242,237,10,0,1222.31,10327,9,2,10334,47.5
SM0315,2026-07-29,2026-07,YouTube,Always On,Static Image,Education,1,14474,10497,584,172,11,855.94,1012.53,10334,21,5,10350,27.1
SM0316,2026-07-30,2026-07,YouTube,Summer Launch,Article,Customer Story,0,8293,5652,356,121,10,0,946.47,10350,12,4,10358,31.5
SM0317,2026-07-31,2026-07,YouTube,Lead Gen,Live Clip,Industry Insight,0,12619,10216,547,270,17,0,2408.92,10358,16,4,10370,36.6
SM0318,2026-07-01,2026-07,YouTube,Brand Trust,Short Video,Education,0,9781,6292,191,175,14,0,1579.57,10370,14,3,10381,16.9
SM0319,2026-07-02,2026-07,YouTube,Always On,Carousel,Customer Story,1,5164,4079,311,137,13,812.51,1898,10381,9,1,10389,28
SM0320,2026-07-03,2026-07,YouTube,Summer Launch,Static Image,Industry Insight,0,7532,4824,179,113,10,0,1321.09,10389,7,2,10394,47.2
